,name,abbreviation,mascot,wins,losses,conference_name
251,San Diego State,SDSU,Aztecs,26.0,11.0,Mountain West Conference
252,San Francisco,SF,Dons,23.0,11.0,West Coast Conference
253,San José State,SJSU,Spartans,9.0,23.0,Mountain West Conference
254,Santa Clara,SCU,Broncos,20.0,13.0,West Coast Conference
255,SC State,SCST,Bulldogs,14.0,18.0,Mid-Eastern Athletic Conference
256,SE Louisiana,SELA,Lions,15.0,17.0,Southland Conference
257,SE Missouri State,SEMO,Redhawks,9.0,22.0,Ohio Valley Conference
258,Seattle,SEA,Redhawks,23.0,14.0,Western Athletic Conference
259,Seton Hall,HALL,Pirates,25.0,12.0,Big East Conference
260,Siena,SIENA,Saints,4.0,28.0,Metro Atlantic Athletic Conference
261,SIU-Edwardsville,SIUE,Cougars,17.0,16.0,Ohio Valley Conference
262,SMU,SMU,Mustangs,20.0,13.0,Atlantic Coast Conference
263,South Alabama,SBAMA,Jaguars,16.0,16.0,Sun Belt Conference
264,South Carolina,SCAR,Gamecocks,26.0,8.0,Southeastern Conference
265,South Dakota,SDAK,Coyotes,12.0,20.0,Summit League
266,South Dakota State,SDSU,Jackrabbits,22.0,13.0,Summit League
267,South Florida,USF,Bulls,25.0,8.0,American Athletic Conference
268,Southern,SOU,Jaguars,18.0,14.0,Southwestern Athletic Conference
269,Southern Illinois,SIU,Salukis,19.0,13.0,Missouri Valley Conference
270,Southern Mississippi,USM,Golden Eagles,16.0,16.0,Sun Belt Conference
271,Southern Utah,SUU,Thunderbirds,10.0,21.0,Western Athletic Conference
272,St. Bonaventure,SBU,Bonnies,20.0,13.0,Atlantic 10 Conference
273,St. Francis (BKN),SFBK,Terriers,14.0,16.0,Northeast Conference
274,St. Francis (PA),SFU,Red Flash,8.0,22.0,Northeast Conference
275,St. Francis BKN,SFBK,Terriers,5.0,5.0,Northeast Conference
276,St. John's,SJU,Red Storm,20.0,13.0,Big East Conference
277,St. Joseph's,JOES,Hawks,21.0,14.0,Atlantic 10 Conference
278,St. Louis,STL,Billikens,13.0,20.0,Atlantic 10 Conference
279,St. Mary's,SMC,Gaels,26.0,8.0,West Coast Conference
280,St. Thomas - Minnesota,STMN,Tommies,19.0,14.0,Summit League
281,Stanford,STAN,Cardinal ,14.0,18.0,Atlantic Coast Conference
282,Stephen F. Austin,SFA,Lumberjacks,18.0,15.0,Southland Conference
283,Stetson,STET,Hatters,22.0,13.0,ASUN Conference
284,Stonehill,STNH,Skyhawks,4.0,27.0,Northeast Conference
285,Stony Brook,STON,Seawolfs,20.0,15.0,Coastal Athletic Association
286,Syracuse,SYR,Orange,20.0,12.0,Atlantic Coast Conference
287,Tarleton,TAR,Texans,25.0,10.0,Western Athletic Conference
288,TCU,TCU,Horned Frogs,21.0,13.0,Big 12 Conference
289,Temple,TEM,Owls,16.0,20.0,American Athletic Conference
290,Tennessee,TENN,Volunteers,27.0,9.0,Southeastern Conference
291,Tennessee State,TNST,Tigers,18.0,15.0,Ohio Valley Conference
292,Tennessee Tech,TNTC,Golden Eagles,10.0,21.0,Ohio Valley Conference
293,Texas,TEX,Longhorns,21.0,13.0,Southeastern Conference
294,Texas A&M,TXAM,Aggies,21.0,15.0,Southeastern Conference
295,Texas A&M Commerce,AMCM,Lions,13.0,20.0,Southland Conference
296,Texas A&M-CC,AMCC,Islanders,21.0,12.0,Southland Conference
297,Texas Southern,TXSO,Tigers,16.0,17.0,Southwestern Athletic Conference
298,Texas State,TXST,Bobcats,17.0,18.0,Sun Belt Conference
299,Texas Tech,TTU,Red Raiders,23.0,11.0,Big 12 Conference
300,The Citadel,CIT,Bulldogs,11.0,21.0,Southern Conference
301,Toledo,TOL,Rockets,20.0,12.0,Mid-American Conference
302,Towson,TOWS,Tigers,20.0,14.0,Coastal Athletic Association
303,Troy,TROY,Trojans,20.0,12.0,Sun Belt Conference
304,Tulane,TULN,Green Wave,14.0,17.0,American Athletic Conference
305,Tulsa,TULS,Golden Hurricane,16.0,15.0,American Athletic Conference
306,UAB,UAB,Blazers,23.0,12.0,American Athletic Conference
307,UC Davis,UCD,Aggies,20.0,13.0,Big West Conference
308,UC Riverside,UCR,Highlanders,16.0,18.0,Big West Conference
309,UC San Diego,UCSD,Tritons,21.0,12.0,Big West Conference
310,UC Santa Barbara,UCSB,Gauchos,16.0,15.0,Big West Conference
311,UCF,UCF,Golden Knights,17.0,16.0,Big 12 Conference
312,UCLA,UCLA,Bruins,16.0,17.0,Big Ten Conference
313,UConn,CONN,Huskies,37.0,3.0,Big East Conference
314,UIC,UIC,Flames,12.0,21.0,Missouri Valley Conference
315,UL Monroe,ULM,Warhawks,11.0,19.0,Sun Belt Conference
316,UMass Lowell,UML,River Hawks,22.0,10.0,America East Conference
317,UMBC,UMBC,Retrievers,11.0,21.0,America East Conference
318,UMKC,UMKC,Kangaroos,16.0,16.0,Summit League
319,UNC Asheville,UNCA,Bulldogs,22.0,12.0,Big South Conference
320,UNC Greensboro,UNCG,Spartans,21.0,11.0,Southern Conference
321,UNC Wilmington,UNCW,Seahawks,21.0,10.0,Coastal Athletic Association
322,UNLV,UNLV,Runnin Rebels,21.0,13.0,Mountain West Conference
323,USC,USC,Trojans,15.0,18.0,Big Ten Conference
324,USC Upstate,SCUS,Spartans,10.0,20.0,Big South Conference
325,UT Arlington,UTA,Mavericks,20.0,14.0,Western Athletic Conference
326,UT Martin,UTM,Skyhawks,21.0,11.0,Ohio Valley Conference
327,UT Rio Grande Valley,RIO,Vaqueros,6.0,25.0,Southland Conference
328,Utah,UTAH,Utes,22.0,15.0,Big 12 Conference
329,Utah State,UTST,Aggies,28.0,7.0,Mountain West Conference
330,Utah Tech,UTU,Trailblazers,11.0,20.0,Western Athletic Conference
331,Utah Valley,UVU,Wolverines,16.0,16.0,Western Athletic Conference
332,UTEP,UTEP,Miners,18.0,16.0,Conference USA
333,UTSA,UTSA,Roadrunners,11.0,21.0,American Athletic Conference
334,Valparaiso,VALP,Beacons,7.0,25.0,Missouri Valley Conference
335,Vanderbilt,VAND,Commodores,9.0,23.0,Southeastern Conference
336,VCU,VCU,Rams,24.0,14.0,Atlantic 10 Conference
337,Vermont,UVM,Catamounts,28.0,7.0,America East Conference
338,Villanova,NOVA,Wildcats,18.0,16.0,Big East Conference
339,Virginia,UVA,Cavaliers,23.0,11.0,Atlantic Coast Conference
340,Virginia Tech,VT,Hokies,19.0,15.0,Atlantic Coast Conference
341,VMI,VMI,Keydets,4.0,28.0,Southern Conference
342,Wagner,WAG,Seahawks,17.0,16.0,Northeast Conference
343,Wake Forest,WAKE,Demon Deacons,21.0,14.0,Atlantic Coast Conference
344,Washington,WASH,Huskies,17.0,15.0,Big Ten Conference
345,Washington State,WSU,Cougars,25.0,10.0,West Coast Conference
346,Weber State,WEB,Wildcats,20.0,12.0,Big Sky Conference
347,West Georgia,WGA,Wolves,,,ASUN Conference
348,West Virginia,WVU,Mountaineers,9.0,23.0,Big 12 Conference
349,Western Carolina,WCU,Catamounts,22.0,10.0,Southern Conference
350,Western Illinois,WIU,Leathernecks,21.0,12.0,Ohio Valley Conference
351,Western Kentucky,WKU,Hilltoppers,22.0,12.0,Conference USA
352,Western Michigan,WMU,Broncos,12.0,20.0,Mid-American Conference
353,Wichita State,WICH,Shockers,15.0,19.0,American Athletic Conference
354,William & Mary,W&M,Tribe,10.0,23.0,Coastal Athletic Association
355,Winthrop,WIN,Eagles,17.0,15.0,Big South Conference
356,Wisconsin,WIS,Badgers,22.0,14.0,Big Ten Conference
357,Wofford,WOF,Terriers,17.0,15.0,Southern Conference
358,Wright State,WRST,Raiders,18.0,14.0,Horizon League
359,Wyoming,WYO,Cowboys,15.0,17.0,Mountain West Conference
360,Xavier,XAV,Muskateers,16.0,18.0,Big East Conference
361,Yale,YALE,Bulldogs,23.0,10.0,Ivy League
362,Youngstown State,YSU,Penguins,22.0,10.0,Horizon League
